Gender,Job,Salary,Height,Weight
F,D,3804,153,62
F,T,4036,175,97
F,D,5394,177,71
F,D,4529,184,68
F,T,6163,168,71
F,D,6041,150,64
F,D,4941,182,92
F,D,5251,179,83
F,D,5029,159,77
F,D,3127,170,77
F,T,3127,160,58
F,P,4049,153,69
F,T,3876,176,61
F,D,6821,146,88
F,T,5640,160,76
F,D,5813,169,76
F,D,3922,174,49
F,D,5407,183,96
F,D,5658,152,86
F,D,5113,181,41
F,P,6360,170,61
F,T,6149,170,47
F,D,5141,161,97
F,D,5882,162,91
F,P,3570,145,78
F,T,6216,177,46
F,D,5638,147,93
F,D,3327,161,78
F,T,4308,150,98
F,T,4672,175,89
F,T,4512,159,97
F,T,6367,184,71
F,T,5082,175,57
F,P,6223,178,88
F,D,3296,150,59
F,P,5496,153,46
F,P,5011,171,61
F,T,4430,174,42
F,D,5635,154,84
F,T,3331,154,72
F,T,3634,152,83
F,T,4164,173,75
F,T,3743,181,55
F,T,4956,174,52
F,D,4947,185,83
F,T,4767,173,80
F,T,4854,156,90
F,T,3496,171,90
F,P,6104,171,41
F,P,3713,146,76
M,D,6974,182,59
M,P,6090,164,75
M,P,5718,149,73
M,D,4563,172,43
M,T,6599,175,86
M,T,3226,155,79
M,P,6343,172,52
M,P,3291,147,48
M,D,6144,151,77
M,T,4529,160,94
M,T,3192,167,54
M,T,6908,150,58
M,D,6327,179,76
M,P,5008,185,75
M,P,3791,168,76
M,T,3912,169,81
M,D,5822,181,91
M,D,4850,148,84
M,D,4420,158,56
M,T,6731,162,43
M,P,5112,172,73
M,T,5204,151,61
M,D,6985,179,88
M,D,3866,155,86
M,T,5658,158,78
M,P,5649,164,45
M,D,6064,170,64
M,P,4236,164,58
M,T,5251,161,96
M,T,3711,181,44
M,D,6402,183,91
M,P,3639,166,52
M,P,4018,177,88
M,T,6525,154,68
M,D,4492,183,96
M,D,5192,165,53
M,D,6353,164,52
M,T,4375,145,54
M,P,6212,183,86
M,P,5469,153,42
M,T,6008,167,45
M,D,5812,175,88
M,T,6349,145,56
M,T,4177,146,58
M,P,5809,151,84
M,P,6148,171,58
M,D,5885,170,92
M,D,3649,178,56
M,D,4708,153,75
M,P,4641,175,82
