Gender,Job,Salary,Height,Weight
F,D,6474,181,62
F,T,5468,163,73
F,D,6649,163,86
F,D,4317,168,72
F,T,6090,149,67
F,D,4165,174,95
F,D,5440,150,89
F,D,5729,154,59
F,D,5041,149,93
F,D,6618,169,61
F,T,4259,148,57
F,P,4236,154,93
F,T,6081,181,70
F,D,6991,152,50
F,T,4727,147,57
F,D,5614,161,61
F,D,3913,181,69
F,D,6749,173,54
F,D,4780,146,56
F,D,3322,177,55
F,P,5963,178,46
F,T,6244,157,55
F,D,4081,183,44
F,D,6510,158,51
F,P,5420,154,93
F,T,6635,147,91
F,D,3332,184,45
F,D,6199,160,64
F,T,6321,154,83
F,T,4968,183,51
F,T,5197,181,56
F,T,3729,147,55
F,T,4158,150,64
F,P,6155,154,45
F,D,6935,165,84
F,P,5392,184,72
F,P,6595,165,70
F,T,3514,169,43
F,D,4133,169,56
F,T,6018,184,61
F,T,5563,161,75
F,T,6169,171,53
F,T,3450,149,59
F,T,5728,176,70
F,D,4820,153,74
F,T,6520,150,42
F,T,5297,158,96
F,T,4675,160,50
F,P,6417,172,57
F,P,5034,158,48
M,D,5029,176,53
M,P,4410,162,84
M,P,5649,183,72
M,D,5066,162,56
M,T,4745,145,51
M,T,3552,175,78
M,P,3108,183,80
M,P,5342,170,77
M,D,6335,183,79
M,T,4703,167,98
M,T,5485,177,55
M,T,4108,159,53
M,D,5151,165,60
M,P,4726,158,93
M,P,4283,183,71
M,T,3619,152,90
M,D,5596,167,66
M,D,4774,159,67
M,D,5367,160,71
M,T,5602,173,77
M,P,3974,181,41
M,T,4414,172,85
M,D,5014,183,67
M,D,5834,145,95
M,T,6653,155,69
M,P,4557,154,77
M,D,4869,169,41
M,P,5752,156,53
M,T,5500,146,88
M,T,6890,172,92
M,D,4322,158,68
M,P,6379,172,72
M,P,5923,170,91
M,T,3366,176,92
M,D,4279,182,56
M,D,6374,156,95
M,D,6095,151,59
M,T,5787,147,77
M,P,3697,173,73
M,P,4555,168,94
M,T,3217,173,83
M,D,3835,166,69
M,T,3364,158,93
M,T,5328,165,89
M,P,3319,166,46
M,P,6785,181,64
M,D,6108,170,60
M,D,4004,159,76
M,D,5255,157,66
M,P,6606,157,60
