Gender,Job,Salary,Height,Weight
F,D,3201,180,84
F,T,3671,159,87
F,D,5699,171,83
F,D,6614,155,66
F,T,6210,171,45
F,D,6413,181,85
F,D,5178,162,61
F,D,5778,148,90
F,D,4743,159,79
F,D,6448,151,62
F,T,5461,153,47
F,P,3372,156,61
F,T,6355,158,47
F,D,3929,166,75
F,T,4279,154,42
F,D,6498,154,64
F,D,6155,161,60
F,D,5101,164,72
F,D,6778,185,48
F,D,5151,169,94
F,P,6058,183,58
F,T,4975,179,55
F,D,4987,152,86
F,D,4921,179,72
F,P,3216,148,93
F,T,4277,171,68
F,D,5728,178,95
F,D,6490,145,41
F,T,4405,153,46
F,T,6986,178,89
F,T,6020,160,41
F,T,3888,181,93
F,T,5398,145,93
F,P,5153,178,70
F,D,4018,178,97
F,P,5285,181,66
F,P,4827,155,55
F,T,6411,157,66
F,D,6879,182,52
F,T,4109,149,67
F,T,3228,183,64
F,T,5658,178,85
F,T,6715,149,81
F,T,5574,182,70
F,D,6143,155,44
F,T,6980,173,50
F,T,6796,175,65
F,T,5243,152,42
F,P,5345,161,71
F,P,5089,162,85
M,D,6832,174,96
M,P,5222,175,70
M,P,3814,174,61
M,D,5074,150,68
M,T,6122,168,76
M,T,3573,163,88
M,P,3970,150,83
M,P,5312,173,55
M,D,3516,171,42
M,T,3582,182,63
M,T,5336,160,41
M,T,6760,162,61
M,D,6248,183,61
M,P,5746,165,59
M,P,5144,180,79
M,T,4656,162,96
M,D,3185,179,53
M,D,5734,177,75
M,D,5203,174,46
M,T,6344,170,97
M,P,4173,160,60
M,T,4042,146,41
M,D,6861,150,76
M,D,3993,172,89
M,T,3627,166,50
M,P,3847,172,41
M,D,5163,153,83
M,P,4375,145,45
M,T,5091,175,64
M,T,6677,169,67
M,D,6904,158,77
M,P,5496,167,43
M,P,3906,171,81
M,T,5773,146,98
M,D,5741,181,65
M,D,6659,185,92
M,D,6241,172,59
M,T,6251,184,64
M,P,5323,171,57
M,P,4108,181,58
M,T,5019,151,62
M,D,5691,183,71
M,T,4094,145,49
M,T,4272,163,87
M,P,6574,147,42
M,P,3234,182,41
M,D,5464,161,95
M,D,6761,161,56
M,D,5191,182,73
M,P,5883,158,76
