Gender,Job,Salary,Height,Weight
F,D,6751,174,73
F,T,3283,149,73
F,D,4589,169,96
F,D,5136,163,58
F,T,6373,169,83
F,D,6392,156,48
F,D,6857,151,76
F,D,4997,175,44
F,D,3325,151,48
F,D,3171,175,88
F,T,6572,146,47
F,P,4071,169,48
F,T,5370,156,43
F,D,5222,147,87
F,T,4354,152,87
F,D,5826,151,51
F,D,5619,184,81
F,D,4912,177,89
F,D,3711,180,56
F,D,3551,145,85
F,P,4153,172,87
F,T,3096,166,43
F,D,3161,174,92
F,D,4644,179,51
F,P,3294,173,68
F,T,6690,148,44
F,D,3876,169,55
F,D,5697,184,76
F,T,6903,175,60
F,T,3268,162,50
F,T,6453,185,67
F,T,4442,171,73
F,T,6053,172,52
F,P,3634,158,53
F,D,3473,171,79
F,P,4125,183,78
F,P,5495,148,91
F,T,3710,148,71
F,D,3803,174,97
F,T,6787,156,89
F,T,3130,147,75
F,T,3445,156,54
F,T,5693,160,42
F,T,5536,182,61
F,D,4199,182,68
F,T,4211,152,97
F,T,5260,148,64
F,T,3468,166,48
F,P,5764,155,68
F,P,5503,171,48
M,D,4181,171,44
M,P,3098,183,51
M,P,5913,168,58
M,D,4238,150,89
M,T,5776,184,47
M,T,5635,182,75
M,P,4454,174,95
M,P,5779,163,56
M,D,6154,182,45
M,T,6814,176,83
M,T,6659,179,91
M,T,3220,150,73
M,D,4678,185,88
M,P,5258,158,56
M,P,4612,168,91
M,T,4191,154,64
M,D,5357,152,71
M,D,6182,165,69
M,D,6169,175,71
M,T,3278,179,48
M,P,6137,151,80
M,T,5236,183,83
M,D,4269,175,56
M,D,6593,170,53
M,T,6154,162,77
M,P,5432,167,54
M,D,3358,149,97
M,P,6585,167,90
M,T,4540,154,70
M,T,5204,184,56
M,D,3438,173,42
M,P,5829,182,77
M,P,5252,170,52
M,T,6647,169,98
M,D,3985,168,97
M,D,3485,154,41
M,D,5422,160,47
M,T,5352,180,79
M,P,6161,146,72
M,P,4183,174,74
M,T,5076,162,68
M,D,3111,175,84
M,T,5415,160,50
M,T,5898,184,92
M,P,4017,183,85
M,P,4886,166,81
M,D,3578,157,82
M,D,3193,181,73
M,D,4257,168,51
M,P,6264,175,80
