Gender,Job,Salary,Height,Weight
F,D,6494,165,47
F,T,3307,184,78
F,D,6005,165,94
F,D,4802,168,63
F,T,6257,175,77
F,D,6784,171,48
F,D,5414,183,88
F,D,6305,159,97
F,D,4457,159,81
F,D,5874,172,47
F,T,3898,145,94
F,P,6592,158,54
F,T,4938,181,90
F,D,4933,185,61
F,T,6815,148,66
F,D,3287,180,53
F,D,4491,148,72
F,D,4795,185,49
F,D,4003,177,67
F,D,5189,157,90
F,P,5757,154,55
F,T,3801,146,63
F,D,4834,185,74
F,D,3961,155,53
F,P,6758,152,50
F,T,6235,164,89
F,D,5819,169,96
F,D,5757,170,62
F,T,4502,157,52
F,T,5404,181,89
F,T,3632,161,43
F,T,5306,178,57
F,T,5714,155,72
F,P,4084,179,52
F,D,4739,165,77
F,P,5074,167,86
F,P,4644,179,48
F,T,4496,181,90
F,D,4226,169,78
F,T,4886,145,62
F,T,6719,174,45
F,T,3256,182,95
F,T,5790,157,49
F,T,6191,149,88
F,D,3442,167,62
F,T,5296,174,79
F,T,4842,152,98
F,T,6990,173,51
F,P,4587,151,44
F,P,6466,178,95
M,D,6691,167,75
M,P,4354,185,64
M,P,5806,158,49
M,D,5585,169,92
M,T,5644,160,66
M,T,3921,171,98
M,P,5493,169,57
M,P,3437,158,61
M,D,4785,150,65
M,T,6531,163,89
M,T,3583,154,85
M,T,6612,175,65
M,D,6169,145,46
M,P,6484,145,43
M,P,6498,150,83
M,T,5401,156,53
M,D,4444,176,73
M,D,6618,164,66
M,D,5986,149,95
M,T,5956,178,92
M,P,3235,148,47
M,T,6777,181,79
M,D,6737,163,65
M,D,4119,149,92
M,T,5492,175,80
M,P,5941,181,95
M,D,4262,177,44
M,P,4514,167,90
M,T,4931,149,90
M,T,5747,158,90
M,D,3509,175,63
M,P,3456,169,92
M,P,3794,164,74
M,T,5022,179,70
M,D,6991,178,91
M,D,4229,164,74
M,D,6129,181,67
M,T,4231,183,73
M,P,4436,160,85
M,P,6643,168,74
M,T,4030,177,78
M,D,5570,150,54
M,T,5734,145,42
M,T,4367,180,59
M,P,3444,184,58
M,P,4216,152,83
M,D,5042,152,41
M,D,5976,185,55
M,D,5674,170,70
M,P,3228,181,70
