Gender,Job,Salary,Height,Weight
F,D,4002,171,75
F,T,6597,161,80
F,D,5909,176,49
F,D,3407,179,87
F,T,5776,168,50
F,D,5587,184,89
F,D,6462,177,85
F,D,6109,181,88
F,D,5648,160,78
F,D,6551,162,44
F,T,6885,169,74
F,P,6151,150,66
F,T,3841,150,67
F,D,5493,171,81
F,T,4709,160,69
F,D,3646,167,98
F,D,3316,146,50
F,D,3596,182,94
F,D,3804,145,44
F,D,5666,148,47
F,P,5377,175,65
F,T,4980,184,61
F,D,5103,183,80
F,D,6418,154,83
F,P,3886,173,50
F,T,3977,150,65
F,D,4026,151,72
F,D,4591,145,95
F,T,4376,157,82
F,T,5126,162,53
F,T,4234,164,43
F,T,4669,166,81
F,T,4649,176,71
F,P,4194,162,68
F,D,4721,154,82
F,P,5500,181,52
F,P,3921,178,54
F,T,4595,147,56
F,D,4933,158,94
F,T,4730,159,94
F,T,4371,168,87
F,T,5301,156,85
F,T,4421,160,78
F,T,6806,165,86
F,D,5942,156,67
F,T,3459,161,44
F,T,6636,169,47
F,T,4719,168,84
F,P,4978,155,46
F,P,6245,161,60
M,D,3373,173,75
M,P,5002,174,63
M,P,5357,153,93
M,D,5554,175,45
M,T,4033,151,81
M,T,3834,176,56
M,P,5942,179,45
M,P,3558,146,95
M,D,4372,157,41
M,T,3224,185,58
M,T,4181,179,86
M,T,3795,160,88
M,D,5676,157,42
M,P,6300,158,64
M,P,6947,162,49
M,T,5148,154,87
M,D,6294,169,68
M,D,6672,176,90
M,D,6640,175,77
M,T,6885,148,70
M,P,6332,149,88
M,T,4366,165,80
M,D,3244,169,85
M,D,3691,163,57
M,T,5908,169,41
M,P,4883,150,65
M,D,6981,160,49
M,P,6125,172,63
M,T,6567,157,69
M,T,6598,169,74
M,D,4872,172,85
M,P,6990,148,92
M,P,4071,161,58
M,T,3184,174,47
M,D,5039,185,54
M,D,6987,172,85
M,D,5544,176,65
M,T,6270,155,68
M,P,5721,167,94
M,P,4535,156,45
M,T,4615,180,49
M,D,5938,165,45
M,T,6713,155,44
M,T,4696,149,66
M,P,6006,178,73
M,P,6732,147,58
M,D,3725,148,75
M,D,6637,176,79
M,D,5931,154,44
M,P,6121,178,63
