Gender,Job,Salary,Height,Weight
F,D,6949,150,86
F,T,5844,176,56
F,D,5104,167,73
F,D,4013,158,77
F,T,5985,169,62
F,D,5938,150,74
F,D,4482,145,68
F,D,5856,177,49
F,D,3945,152,49
F,D,6595,166,55
F,T,6433,155,62
F,P,6173,166,46
F,T,5334,171,49
F,D,3895,172,80
F,T,3422,152,81
F,D,3659,150,73
F,D,5013,156,82
F,D,3101,176,87
F,D,5754,173,72
F,D,4104,154,91
F,P,3171,177,91
F,T,5823,180,57
F,D,3123,155,75
F,D,5180,170,42
F,P,3610,160,98
F,T,4450,161,63
F,D,6161,173,93
F,D,6961,169,93
F,T,6972,182,44
F,T,3722,149,71
F,T,6175,148,71
F,T,6640,154,83
F,T,5620,172,67
F,P,5501,184,91
F,D,4898,175,45
F,P,4129,169,85
F,P,4405,156,84
F,T,3874,162,86
F,D,3101,179,49
F,T,4290,162,53
F,T,3867,164,79
F,T,4581,180,64
F,T,6372,180,65
F,T,3490,172,94
F,D,5194,154,52
F,T,6799,181,62
F,T,3146,162,80
F,T,4690,163,42
F,P,4639,180,73
F,P,4139,145,90
M,D,4477,161,60
M,P,5906,152,96
M,P,5552,173,79
M,D,5229,152,91
M,T,3209,160,42
M,T,6243,161,52
M,P,4053,182,88
M,P,6046,162,44
M,D,4382,147,67
M,T,5509,160,46
M,T,3752,150,66
M,T,4003,159,45
M,D,4027,163,54
M,P,6550,172,45
M,P,3872,162,64
M,T,5427,180,70
M,D,5828,181,48
M,D,4108,151,74
M,D,4492,151,92
M,T,3432,164,74
M,P,3461,170,96
M,T,4398,156,45
M,D,4424,165,54
M,D,6418,179,82
M,T,6404,173,41
M,P,4665,153,73
M,D,4274,180,82
M,P,4577,175,95
M,T,5856,150,43
M,T,4195,171,86
M,D,5804,162,93
M,P,5284,164,60
M,P,5306,153,80
M,T,3305,148,77
M,D,4533,170,55
M,D,5280,162,72
M,D,4613,173,61
M,T,3350,149,93
M,P,5670,171,80
M,P,3250,178,78
M,T,3683,175,72
M,D,3237,166,42
M,T,5779,171,96
M,T,6416,146,42
M,P,4215,170,74
M,P,5469,183,81
M,D,5314,177,65
M,D,6180,178,96
M,D,5481,170,78
M,P,3847,177,61
