Gender,Job,Salary,Height,Weight
F,D,5681,175,64
F,T,3445,163,62
F,D,3780,175,86
F,D,4027,159,52
F,T,5131,153,97
F,D,4319,165,71
F,D,6791,145,68
F,D,4740,147,94
F,D,3853,172,42
F,D,4212,146,50
F,T,4221,181,94
F,P,5550,170,51
F,T,5876,170,75
F,D,3601,145,42
F,T,6675,151,56
F,D,3428,174,77
F,D,6151,156,87
F,D,3370,167,45
F,D,6078,145,81
F,D,6181,155,51
F,P,3493,173,54
F,T,3998,158,65
F,D,3910,167,60
F,D,3323,176,68
F,P,6412,179,44
F,T,4574,159,87
F,D,5190,145,47
F,D,4158,181,69
F,T,4635,177,50
F,T,4436,162,47
F,T,3923,147,94
F,T,6598,158,66
F,T,3141,181,63
F,P,4392,156,96
F,D,3219,184,90
F,P,3728,171,70
F,P,3139,177,61
F,T,6426,164,84
F,D,6172,176,88
F,T,4628,146,88
F,T,3421,180,66
F,T,4952,149,54
F,T,5132,147,72
F,T,5033,183,62
F,D,3942,172,78
F,T,3578,177,96
F,T,6751,184,52
F,T,5128,146,92
F,P,3234,163,69
F,P,3698,156,83
M,D,3549,167,68
M,P,6158,182,84
M,P,6564,151,74
M,D,6664,172,57
M,T,3426,157,65
M,T,5227,176,82
M,P,5284,176,76
M,P,3117,165,69
M,D,4470,147,48
M,T,5678,162,81
M,T,6617,173,97
M,T,6836,168,51
M,D,3110,185,52
M,P,3995,154,49
M,P,4190,178,65
M,T,5364,180,98
M,D,4801,178,54
M,D,5680,176,76
M,D,3641,153,95
M,T,5561,154,52
M,P,4494,153,68
M,T,3767,151,85
M,D,5278,181,70
M,D,3483,169,96
M,T,3480,150,67
M,P,3600,184,65
M,D,3585,162,78
M,P,6084,146,52
M,T,6497,168,42
M,T,4163,161,49
M,D,6853,161,72
M,P,4279,163,48
M,P,3344,183,82
M,T,4007,170,84
M,D,4246,183,80
M,D,5375,161,91
M,D,3562,178,69
M,T,4384,156,51
M,P,4385,166,89
M,P,4930,174,55
M,T,3755,163,48
M,D,3621,168,62
M,T,6509,166,42
M,T,6050,164,47
M,P,6766,161,52
M,P,5997,163,65
M,D,4920,151,83
M,D,5143,180,50
M,D,3440,184,79
M,P,4077,183,77
