Gender,Job,Salary,Height,Weight
F,D,4180,164,45
F,T,3526,167,59
F,D,3172,173,76
F,D,5695,174,57
F,T,5220,184,78
F,D,6411,181,45
F,D,4112,180,79
F,D,6391,178,55
F,D,6851,150,91
F,D,6823,150,83
F,T,3211,181,52
F,P,5898,183,46
F,T,4949,164,52
F,D,6224,163,62
F,T,5586,159,54
F,D,3806,147,70
F,D,6027,151,50
F,D,3740,170,97
F,D,6624,148,49
F,D,4352,177,75
F,P,4601,163,59
F,T,6254,168,68
F,D,4311,162,91
F,D,5607,148,72
F,P,6760,163,66
F,T,6033,147,85
F,D,3823,171,59
F,D,6296,160,56
F,T,6265,162,96
F,T,5144,152,94
F,T,5521,148,58
F,T,5289,159,89
F,T,6557,171,78
F,P,4237,162,42
F,D,4445,157,54
F,P,5820,185,45
F,P,4782,170,69
F,T,3778,148,81
F,D,4138,162,81
F,T,3364,163,56
F,T,3953,172,63
F,T,5454,168,53
F,T,6657,172,53
F,T,4297,182,43
F,D,4418,153,62
F,T,3375,166,87
F,T,4977,148,61
F,T,3627,152,78
F,P,5682,159,64
F,P,3450,156,55
M,D,5903,172,69
M,P,3970,161,70
M,P,4840,183,79
M,D,6025,170,69
M,T,4462,152,62
M,T,4073,158,72
M,P,3157,160,61
M,P,5730,157,42
M,D,4150,155,77
M,T,3987,174,88
M,T,3175,173,89
M,T,5969,153,48
M,D,4007,155,80
M,P,5834,185,46
M,P,3993,148,69
M,T,4602,177,73
M,D,4020,147,96
M,D,6650,157,96
M,D,4344,162,73
M,T,6685,169,80
M,P,4395,159,98
M,T,5062,171,48
M,D,5571,179,85
M,D,5231,168,90
M,T,3423,160,51
M,P,6628,151,66
M,D,4608,184,88
M,P,5355,171,89
M,T,4555,150,97
M,T,6733,170,49
M,D,4154,185,83
M,P,5472,175,54
M,P,6254,151,45
M,T,5978,150,49
M,D,6772,150,93
M,D,3135,172,80
M,D,4700,158,71
M,T,5824,170,86
M,P,4491,163,89
M,P,5410,159,69
M,T,6305,149,58
M,D,4329,171,76
M,T,4707,179,84
M,T,6175,179,46
M,P,6079,147,50
M,P,5988,152,97
M,D,6527,145,79
M,D,3757,147,65
M,D,6736,184,67
M,P,3185,155,92
