Gender,Job,Salary,Height,Weight
F,D,5616,161,83
F,T,6705,161,75
F,D,5578,169,97
F,D,3682,147,76
F,T,6507,169,62
F,D,4415,182,53
F,D,4391,155,92
F,D,4136,157,57
F,D,6051,166,96
F,D,3642,166,90
F,T,4572,178,44
F,P,5158,167,75
F,T,3849,170,45
F,D,5693,181,46
F,T,3430,185,94
F,D,4181,148,50
F,D,3665,177,43
F,D,4148,166,50
F,D,6883,151,94
F,D,6282,173,52
F,P,3575,181,97
F,T,4696,182,68
F,D,4980,150,79
F,D,5870,147,92
F,P,3741,162,72
F,T,4811,167,73
F,D,6532,160,78
F,D,4639,160,76
F,T,5297,166,47
F,T,6727,156,78
F,T,5148,184,78
F,T,3811,172,90
F,T,6080,183,76
F,P,6572,146,63
F,D,4143,158,90
F,P,4143,154,91
F,P,4770,176,92
F,T,5824,164,47
F,D,3775,184,57
F,T,6275,169,57
F,T,3574,158,78
F,T,3574,154,74
F,T,4250,184,63
F,T,5951,173,90
F,D,5442,148,83
F,T,4037,165,52
F,T,5881,176,52
F,T,3940,168,42
F,P,3741,165,46
F,P,5605,184,64
M,D,5294,146,58
M,P,5711,145,42
M,P,3223,177,94
M,D,5878,149,47
M,T,4117,172,80
M,T,3429,175,98
M,P,3994,151,60
M,P,4546,167,43
M,D,5697,162,89
M,T,4928,168,76
M,T,6796,168,67
M,T,3510,151,88
M,D,4561,174,57
M,P,4825,182,54
M,P,6359,174,77
M,T,5578,169,78
M,D,6527,149,78
M,D,5289,155,69
M,D,3883,158,51
M,T,3337,150,64
M,P,6249,165,74
M,T,5007,184,78
M,D,5402,158,56
M,D,6294,154,44
M,T,6855,177,95
M,P,5419,182,82
M,D,5909,181,97
M,P,4376,181,49
M,T,4570,170,94
M,T,3415,162,60
M,D,3927,146,86
M,P,5503,155,55
M,P,3496,183,42
M,T,3973,184,81
M,D,3550,148,97
M,D,6339,159,53
M,D,6831,166,68
M,T,6361,151,68
M,P,5771,149,64
M,P,6691,165,50
M,T,6821,175,85
M,D,5161,155,92
M,T,4577,179,48
M,T,4565,162,90
M,P,5462,158,56
M,P,6496,152,96
M,D,5199,162,66
M,D,4427,156,67
M,D,6411,168,54
M,P,3326,177,53
