Gender,Job,Salary,Height,Weight
F,D,4328,152,43
F,T,5249,150,90
F,D,3768,176,85
F,D,4399,172,46
F,T,5446,145,61
F,D,6885,170,57
F,D,4808,156,72
F,D,6314,149,96
F,D,3753,156,63
F,D,6676,175,90
F,T,6135,178,95
F,P,3097,172,61
F,T,5970,152,49
F,D,6258,157,57
F,T,6443,162,74
F,D,6645,151,61
F,D,3273,156,86
F,D,5740,157,83
F,D,3753,160,83
F,D,5400,151,79
F,P,3593,169,85
F,T,5407,167,66
F,D,6176,159,43
F,D,5348,157,44
F,P,6366,151,61
F,T,5860,156,90
F,D,3391,176,60
F,D,5825,178,61
F,T,3697,174,98
F,T,4512,181,54
F,T,5366,160,87
F,T,6434,145,41
F,T,6334,184,47
F,P,3889,156,78
F,D,3565,160,49
F,P,6977,155,84
F,P,5205,170,97
F,T,6315,185,61
F,D,4019,165,84
F,T,3183,150,71
F,T,3314,151,48
F,T,6531,166,74
F,T,3103,182,68
F,T,6381,151,77
F,D,5367,155,53
F,T,3556,158,76
F,T,4731,160,46
F,T,4180,181,77
F,P,6389,181,63
F,P,4400,173,50
M,D,4362,186,47
M,P,3286,183,43
M,P,3101,184,61
M,D,5871,168,46
M,T,3479,160,96
M,T,5300,160,51
M,P,6970,169,56
M,P,4996,168,52
M,D,3285,179,52
M,T,5956,155,47
M,T,4759,183,64
M,T,4830,156,64
M,D,6228,175,87
M,P,5031,178,60
M,P,5265,165,85
M,T,3831,159,41
M,D,5273,185,44
M,D,4380,183,97
M,D,5055,185,86
M,T,5700,175,45
M,P,5108,149,62
M,T,4706,160,44
M,D,4112,165,49
M,D,6702,162,96
M,T,4541,153,61
M,P,5810,170,92
M,D,5497,157,89
M,P,5153,181,97
M,T,3790,175,60
M,T,5318,169,87
M,D,5254,181,67
M,P,5684,178,96
M,P,4854,168,46
M,T,4551,148,70
M,D,4084,161,44
M,D,4514,154,42
M,D,6329,157,69
M,T,4829,164,56
M,P,4144,164,66
M,P,6268,162,49
M,T,3745,166,48
M,D,6783,147,47
M,T,6917,153,95
M,T,4031,155,91
M,P,4543,164,76
M,P,3753,151,57
M,D,6677,170,51
M,D,4337,171,82
M,D,6446,155,62
M,P,5221,177,49
