Gender,Job,Salary,Height,Weight
F,D,3222,174,57
F,T,3188,178,76
F,D,6705,169,54
F,D,5503,159,77
F,T,4993,182,88
F,D,4967,151,67
F,D,3117,147,42
F,D,5925,166,45
F,D,3708,169,88
F,D,3567,145,56
F,T,3922,150,98
F,P,5461,163,66
F,T,5584,174,66
F,D,6963,179,66
F,T,5708,145,55
F,D,4177,175,74
F,D,4100,167,88
F,D,5590,172,64
F,D,6977,166,82
F,D,3906,182,87
F,P,3289,154,54
F,T,5026,178,94
F,D,4470,160,60
F,D,6844,154,70
F,P,3659,145,59
F,T,5557,164,76
F,D,6016,167,76
F,D,4036,173,58
F,T,3596,170,49
F,T,3469,170,79
F,T,5745,177,42
F,T,6253,182,41
F,T,5938,165,98
F,P,5199,145,57
F,D,5780,158,93
F,P,4135,176,65
F,P,5700,171,92
F,T,4540,167,90
F,D,6869,161,72
F,T,3576,145,88
F,T,3169,181,72
F,T,3624,146,42
F,T,5315,145,90
F,T,3780,150,94
F,D,6690,153,73
F,T,4510,167,50
F,T,4379,169,69
F,T,5520,172,87
F,P,3096,175,88
F,P,5342,154,49
M,D,3499,166,77
M,P,6615,178,50
M,P,4278,161,92
M,D,5833,185,87
M,T,4651,178,68
M,T,5938,145,61
M,P,3693,174,57
M,P,5391,175,60
M,D,3106,161,76
M,T,4149,159,85
M,T,5845,165,56
M,T,6419,180,81
M,D,5800,166,55
M,P,6867,185,97
M,P,5388,156,63
M,T,6127,153,65
M,D,5612,177,68
M,D,6787,177,51
M,D,4874,148,51
M,T,4969,172,91
M,P,5403,150,75
M,T,5006,178,50
M,D,6235,157,58
M,D,3329,162,58
M,T,4549,168,85
M,P,5215,167,78
M,D,6563,159,66
M,P,6813,182,93
M,T,6746,162,82
M,T,5939,183,49
M,D,3427,184,67
M,P,3958,174,97
M,P,4665,171,51
M,T,6307,171,98
M,D,5220,166,96
M,D,6843,155,72
M,D,4147,167,62
M,T,3793,177,94
M,P,5020,173,80
M,P,5443,179,78
M,T,4556,156,68
M,D,3280,177,84
M,T,6960,159,50
M,T,4110,159,61
M,P,5760,176,68
M,P,4231,147,66
M,D,5153,155,88
M,D,6627,172,41
M,D,5115,167,96
M,P,4773,181,60
