Gender,Job,Salary,Height,Weight
F,D,4674,158,54
F,T,5638,160,46
F,D,4879,179,72
F,D,5877,164,54
F,T,5283,147,81
F,D,6906,154,93
F,D,3129,167,57
F,D,3198,164,84
F,D,5171,164,94
F,D,6057,151,63
F,T,5024,185,95
F,P,6294,159,74
F,T,6955,154,52
F,D,4965,175,44
F,T,6368,165,87
F,D,3420,154,75
F,D,3809,175,65
F,D,5929,184,66
F,D,6820,165,75
F,D,3104,174,88
F,P,5498,180,56
F,T,3390,179,78
F,D,4107,178,95
F,D,5625,157,66
F,P,6287,167,86
F,T,3448,179,55
F,D,5243,145,41
F,D,6617,180,84
F,T,5095,153,84
F,T,4334,156,94
F,T,4934,176,61
F,T,5881,155,60
F,T,5679,157,88
F,P,5408,176,95
F,D,4109,167,66
F,P,4240,153,72
F,P,4538,176,60
F,T,5120,153,55
F,D,3199,173,97
F,T,4401,184,50
F,T,3413,146,95
F,T,4848,147,47
F,T,4125,170,49
F,T,6419,151,87
F,D,3414,169,86
F,T,6325,180,87
F,T,6268,145,47
F,T,5956,167,71
F,P,5970,146,67
F,P,3987,163,87
M,D,3118,148,41
M,P,5410,175,62
M,P,4898,148,63
M,D,6707,167,83
M,T,3826,184,67
M,T,3238,183,65
M,P,6486,185,44
M,P,4528,178,50
M,D,4543,169,50
M,T,6620,162,85
M,T,3436,164,71
M,T,4473,169,52
M,D,3902,173,60
M,P,5520,185,63
M,P,5797,177,73
M,T,4296,168,73
M,D,3102,171,84
M,D,3932,154,45
M,D,4090,184,61
M,T,4870,166,93
M,P,3144,158,42
M,T,3513,164,60
M,D,6704,182,69
M,D,4101,164,74
M,T,5910,157,92
M,P,4225,176,80
M,D,3406,161,75
M,P,6839,159,52
M,T,4341,156,54
M,T,6791,155,41
M,D,4824,166,45
M,P,5350,164,62
M,P,3507,169,75
M,T,3677,166,70
M,D,5840,174,70
M,D,3792,185,93
M,D,3252,169,81
M,T,5728,168,41
M,P,3307,148,50
M,P,6193,169,90
M,T,3688,156,42
M,D,5467,155,92
M,T,5596,179,94
M,T,6302,174,85
M,P,3204,169,91
M,P,5998,167,75
M,D,4666,174,64
M,D,4010,152,65
M,D,3484,168,83
M,P,4840,159,45
