Gender,Job,Salary,Height,Weight
F,D,6256,180,64
F,T,5067,157,86
F,D,6778,163,42
F,D,4954,173,61
F,T,6310,165,79
F,D,5898,183,59
F,D,3945,165,98
F,D,4294,147,73
F,D,5005,178,45
F,D,3937,173,50
F,T,4759,183,62
F,P,3675,152,77
F,T,3363,166,43
F,D,6481,175,47
F,T,3571,146,55
F,D,6212,145,47
F,D,3941,161,65
F,D,6619,163,62
F,D,3516,164,88
F,D,4799,148,72
F,P,3257,155,90
F,T,5960,155,90
F,D,3365,158,88
F,D,4626,169,57
F,P,3767,169,47
F,T,5379,157,74
F,D,6353,154,72
F,D,5376,165,47
F,T,4176,184,72
F,T,4079,157,50
F,T,3143,157,65
F,T,3851,175,43
F,T,6931,185,42
F,P,6359,185,57
F,D,3810,160,67
F,P,5705,174,51
F,P,5739,184,42
F,T,6264,185,97
F,D,4743,164,81
F,T,5750,176,95
F,T,3671,173,43
F,T,4050,178,60
F,T,4329,162,46
F,T,3414,171,75
F,D,5203,167,44
F,T,5157,178,98
F,T,3969,151,77
F,T,5035,151,55
F,P,5476,168,65
F,P,4966,164,74
M,D,6967,154,72
M,P,5554,169,58
M,P,5854,162,74
M,D,3556,153,75
M,T,6412,153,41
M,T,6471,157,82
M,P,5021,149,53
M,P,6981,182,48
M,D,5761,168,72
M,T,4181,147,86
M,T,6398,147,51
M,T,4716,175,69
M,D,4783,167,49
M,P,5572,158,96
M,P,6703,181,86
M,T,4497,162,63
M,D,6276,169,83
M,D,5003,168,62
M,D,6423,154,84
M,T,5093,182,93
M,P,3491,153,78
M,T,6785,148,71
M,D,3136,172,71
M,D,3827,174,69
M,T,3668,165,95
M,P,3939,182,97
M,D,4559,172,52
M,P,5101,178,69
M,T,4754,148,55
M,T,5146,158,64
M,D,6665,152,80
M,P,5952,152,70
M,P,4103,152,80
M,T,5052,152,77
M,D,4916,185,62
M,D,6724,182,85
M,D,6870,149,95
M,T,5449,182,65
M,P,3449,161,53
M,P,3400,164,53
M,T,3797,155,84
M,D,5869,151,68
M,T,4527,159,98
M,T,5771,148,53
M,P,6892,161,44
M,P,4875,151,45
M,D,5439,169,96
M,D,6836,176,74
M,D,3613,184,93
M,P,4608,171,69
