Gender,Job,Salary,Height,Weight
F,D,3765,145,92
F,T,4460,175,88
F,D,6682,174,55
F,D,3558,184,85
F,T,5828,158,53
F,D,4701,155,42
F,D,4993,159,95
F,D,4098,169,64
F,D,6196,178,42
F,D,4614,163,47
F,T,3850,165,42
F,P,3235,185,90
F,T,6162,175,77
F,D,3146,161,66
F,T,5361,158,58
F,D,6571,173,92
F,D,6662,159,44
F,D,5420,160,48
F,D,3317,172,65
F,D,5275,180,87
F,P,6774,176,42
F,T,3243,152,89
F,D,3634,156,94
F,D,3187,168,87
F,P,4791,150,48
F,T,3121,184,50
F,D,4560,177,48
F,D,4209,182,80
F,T,4051,184,43
F,T,3801,179,72
F,T,3745,160,64
F,T,3213,163,67
F,T,5866,164,41
F,P,6469,167,74
F,D,3791,149,73
F,P,6131,147,75
F,P,5016,183,47
F,T,6363,151,63
F,D,5449,153,97
F,T,5594,150,69
F,T,5219,167,85
F,T,6095,151,50
F,T,6857,165,75
F,T,4029,146,74
F,D,3807,155,48
F,T,3320,166,63
F,T,5764,167,84
F,T,6660,146,88
F,P,5867,171,67
F,P,4745,147,97
M,D,3649,159,71
M,P,6202,158,56
M,P,5405,158,61
M,D,3524,159,86
M,T,4801,184,57
M,T,6385,162,41
M,P,5470,159,41
M,P,3206,170,82
M,D,5348,175,47
M,T,4769,169,55
M,T,3100,171,52
M,T,5795,159,92
M,D,4290,179,45
M,P,5389,172,59
M,P,3256,152,53
M,T,4244,161,98
M,D,4229,162,77
M,D,5057,180,86
M,D,3181,179,66
M,T,6022,152,71
M,P,6589,154,61
M,T,4374,173,72
M,D,3539,178,92
M,D,3399,147,93
M,T,4084,160,55
M,P,6777,151,67
M,D,3382,155,57
M,P,6712,183,42
M,T,6389,155,91
M,T,5998,169,48
M,D,4131,149,43
M,P,5590,173,70
M,P,4380,149,63
M,T,3214,147,55
M,D,6861,150,84
M,D,5586,149,96
M,D,6285,185,93
M,T,3592,154,60
M,P,4734,168,61
M,P,5188,151,82
M,T,4382,159,55
M,D,6237,165,59
M,T,5506,170,43
M,T,6100,159,60
M,P,5559,156,59
M,P,3494,146,78
M,D,4122,166,73
M,D,3601,166,98
M,D,3870,168,67
M,P,3604,167,63
